Miseq_run,sample,Hash,nReads
5,SA_201711A.1,6c9532aeb82845b45a1a5cae5d5580fefca24d0e,20
1,PO_201703E.3,96ddb4a301930e1c051919b441ea809bb85dfc5f,4
2,TW_201708A.2,77fea7b48a085d44747cb53437a8fbcdca515186,28
3,LL_201705B.1,27684d61ce7c0848c27e83869b13848dd7cc4175,106
7,SA_201807A.2,afb682f933748c279f83a85d95282e9d97dcb142,27
3,TR_201706B.1,febc4d50fdd778e0578ce943797aa5c82a2eca30,246
3,PO_201706C.3,1b661f67f675da230c743deb42ef84a829c0fd2d,14
6,SA_201711A.2,0e38436814119cd7f59388509098ed672a973eac,2
4,LK_201709A.3,0b8ff0c1fa32b248eebeb30d112ea7a57afbd9f1,5
1,PO_201703F.3,0a5cb7a0eb64b726f79296edf743cfb89a8fa9a3,17
7,TW_201807C.3,a89a09379d8d22efdefd9f06f1c4f04c80da5c65,27
6,LK_201707C.1,15c8de0d04fc86ac351cff57ddc70bcd2cf667ad,5685
6,LK_201707C.1,b03c48f47c2dd62d63c09fee006e6229661fa838,4
7,PO_201801B.1,070da737e8398aae508a7644480fb7e43e86ead3,3
3,TR_201706C.1,6588f38db455aef398751d38aa5b7c8bcdb86769,126
3,SA_201705C.2,cc31829956f99898e6346ea28c395954ce5c56a9,860
2,SA_201708B.2,4842a78257c50a0cbcdd3d53648e3cb8640a6b9d,388
2,TW_201708B.3,66da1dc254897dd717bb288788e5e39d1cf39ce5,26
7,SA_201801A.1,5ae1341da7ed3b29f88201563c85b12b0112a65a,8037
4,LK_201710B.1,f9a42d9c17ba5ebb2b0d17a84b3d730522311e3d,4
5,SA_201709B.1,64ea39f82f15850a00dcfe5064857ee9926c970d,6
8,CP_201805A.2,715b15172975ac5a2baf00514000ffdd3f88b237,18
7,SA_201803A.1,fa77b3f727c4b2db407a91a43add98776f5eb394,65
1,PO_201703F.1,5cc177770b8a0d07bf6a3603c78c99812ab120bf,43
5,TR_201711C.2,d5d6332cc15098eff891633cc69a09a7052ec25b,26
6,TW_201709C.3,6f98e637735b187cd156c79b8f022a0bc63d5fc5,70
3,TW_201706B.3,0792a5deca31e70e00cd827f2ef6f99e05a8643e,6
1,PO_201703B.3,25043c29921a90add9da838dc500afbed6d5e855,6
7,LL_201710B.2,2d532a421852a0377dbc758ad6085672635fbccf,255
5,LL_201709A.3,bccac54ad7babc9191848eab06023ee35501cc72,87
2,SA_201708A.1,41ea55ead3a946d8e5e4eb36a1e4c0c7ebd3940b,38
4,CP_201711C.1,d1a39416edd76e9e267c9be1305d5e3fa6d25656,109
7,PO_201803B.1,2fadd860f99823878d99d2247044b55d0adf1f88,15
